Semana;Ibirapuera;Carmo;Luz;Aclimacao;Independencia
13/7 a 17/7;42.452;9.197;8.848;8.562;6.857
20/7 a 24/7;73.805;22.220;8.474;13.752;11.775
27/7 a 31/7;53.357;16.342;7.345;11.539;8.497
3/8 a 7/8;68.358;27.293;8.674;15.160;14.582
10/8 a 14/8;79.566;26.457;10.209;16.365;16.044
17/8 a 21/8;31.156;4.415;6.534;6.128;4.881
24/8 a 28/8;93.561;17.845;13.155;22.663;21.052
31/8 a 4 /9;88.193;21.391;11.728;21.493;20.844
8/9 a 11/9;84.012;17.188;11.990;19.590;17.612
14/9 a 18/9;95.135;17.698;13.834;22.961;19.967
21/9 a 25/9;74.828;15.080;11.298;14.576;12.126
28/9 a 2/10;101.731;22.911;13.688;21.118;18.340 
5/10 a 9/10;90.859;14.483;13.093;17.843;13.816
12/10 a 16/10;58.261;10.031;10.876;14.999;10.685
19/10 a 23/10;70.903;17.711;14.435;18.061;16.256
26/10 a 1/11;110.826;17.887;18.587;25.319;25.624
2/11 a 8/11;232.402;32.319;25.988;33.548;54.404
9/11 a 15/11;155.331;24.189;21.114;31.038;38.002
16/11 a 22/11;166.400;22.754;17.923;25.499;39.591
23/11 a 29/11;181.068;26.529;19.484;41.551;36.957
30/11 a 6/12;139.036;20.150;16.495;30.953;27.253
7/12 a 13/12;155.137;15.340;16.373;29.165;31.205
14/12 a 20/12;175.797;19.836;20.131;28.511;31.746
21/12 a 27/12;59.477;6.811;7.531;12.285;10.681
28/12 a 3/1;85.618;9.657;8.182;13.987;14.770
4/1 a 10/11;204.752;26.670;19.561;30.417;35.707
11/01 a 17/01;246.797;24.197;15.370;39.195;38.693
18/01 a 24/01;170.944;21.880;16.579;31.154;36.655
